timestamp,symbol,side,price,sentiment,verdict,future_price,efficacy
2026-04-22 12:11:22,KAS/USDT,LONG,0.03498,0.0,FILTERED,,
2026-04-22 12:11:25,KAS/USDT,LONG,0.03499,0.0,FILTERED,0.0,WAITING
2026-04-22 12:11:25,KAS/USDT,LONG,0.03501,0.0,FILTERED,,
2026-04-22 12:11:26,KAS/USDT,LONG,0.03501,0.0,FILTERED,,
2026-04-22 12:11:26,KAS/USDT,LONG,0.03501,0.0,FILTERED,0.0,WAITING
2026-04-22 12:11:27,KAS/USDT,LONG,0.03501,0.0,FILTERED,0.0,WAITING
2026-04-22 12:11:29,KAS/USDT,LONG,0.03501,0.0,FILTERED,0.0,WAITING
2026-04-22 12:11:33,KAS/USDT,LONG,0.03501,0.0,FILTERED,,
2026-04-22 12:13:53,KAS/USDT,LONG,0.03502,0.0,FILTERED,0.0,WAITING
2026-04-22 12:13:53,KAS/USDT,LONG,0.03502,0.0,FILTERED,0.0,WAITING
2026-04-22 12:13:53,KAS/USDT,LONG,0.03502,0.0,FILTERED,0.0,WAITING
2026-04-22 12:13:54,KAS/USDT,LONG,0.03502,0.0,FILTERED,,
2026-04-22 12:13:55,KAS/USDT,LONG,0.03502,0.0,FILTERED,0.0,WAITING
2026-04-22 12:13:56,KAS/USDT,LONG,0.03502,0.0,FILTERED,,
2026-04-22 12:13:59,KAS/USDT,LONG,0.03502,0.0,FILTERED,,
2026-04-22 12:14:00,KAS/USDT,LONG,0.03501,0.0,FILTERED,,
2026-04-22 12:14:00,KAS/USDT,LONG,0.03501,0.0,FILTERED,,
2026-04-22 12:15:13,KAS/USDT,LONG,0.03509,0.0,FILTERED,0.0,WAITING
2026-04-22 12:15:13,KAS/USDT,LONG,0.03508,0.0,FILTERED,0.0,WAITING
2026-04-22 12:15:13,KAS/USDT,LONG,0.03509,0.0,FILTERED,0.0,WAITING
2026-04-22 12:15:14,KAS/USDT,LONG,0.03507,0.0,FILTERED,,
2026-04-22 12:15:14,KAS/USDT,LONG,0.03507,0.0,FILTERED,,
2026-04-22 12:15:15,KAS/USDT,LONG,0.03507,0.0,FILTERED,,
2026-04-22 12:15:15,KAS/USDT,LONG,0.03507,0.0,FILTERED,,
